productname,productid,imagepath
Cam sành,33a17c81-c183-41d8-87e9-ac8689dd207e,productImage/33a17c81-c183-41d8-87e9-ac8689dd207e_Camsành.jpg
Cà rốt đỏ,7e24a671-98a3-45b7-86a7-d8fdfb7005f5,productImage/7e24a671-98a3-45b7-86a7-d8fdfb7005f5_Càrốtđỏ.jpg
Nấm linh chi,e20090d4-1b6f-43c5-84ea-379252d5c990,productImage/e20090d4-1b6f-43c5-84ea-379252d5c990_Nấmlinhchi.jpg
Khoai Lang,3347df82-ca57-4d17-98f4-958e8e53d12f,productImage/3347df82-ca57-4d17-98f4-958e8e53d12f_KhoaiLang.jpg
Ổi Hồng,2ae5516a-ee07-489a-8d16-42113260fca2,productImage/2ae5516a-ee07-489a-8d16-42113260fca2_ỔiHồng.jpg
Nấm tràm,4c6fa416-615f-4807-b968-9bf9cae1b131,productImage/4c6fa416-615f-4807-b968-9bf9cae1b131_Nấmtràm.jpg
Rau muống,8e422368-b502-45b9-8e16-5dc88e1b61bc,productImage/8e422368-b502-45b9-8e16-5dc88e1b61bc_Raumuống.jpg
Rau dền xanh,2e48b0ca-29be-4331-a7f6-ec7713488af2,productImage/2e48b0ca-29be-4331-a7f6-ec7713488af2_Raudềnxanh.jpg
Hành lá,5e382b17-bec6-4816-9b46-985e78971b6d,productImage/5e382b17-bec6-4816-9b46-985e78971b6d_Hànhlá.jpg
Tía tô,0abe0b3f-db26-4ade-b67b-b33ac969d524,productImage/0abe0b3f-db26-4ade-b67b-b33ac969d524_Tíatô.jpg
Rau nhút,9661f0b9-a8b6-49fa-ab6d-304679b76cf1,productImage/9661f0b9-a8b6-49fa-ab6d-304679b76cf1_Raunhút.jpg
Ngò rí,76346a15-f86a-4e36-befa-e842a787a089,productImage/76346a15-f86a-4e36-befa-e842a787a089_Ngòrí.jpg
Rau thì là,b70952f7-94f5-43b2-9b3d-d3a72b2416cc,productImage/b70952f7-94f5-43b2-9b3d-d3a72b2416cc_Rauthìlà.jpg
Rau muống,483811ce-3dfd-46b8-a852-5b6ece834034,productImage/483811ce-3dfd-46b8-a852-5b6ece834034_Raumuống.jpg
Bạc hà,4ebfc054-39da-4b3c-9f11-9d423fa4e482,productImage/4ebfc054-39da-4b3c-9f11-9d423fa4e482_Bạchà.jpg
Rau dền tím,996e16c3-8d63-41d1-8a64-1cc5cc14d680,productImage/996e16c3-8d63-41d1-8a64-1cc5cc14d680_Raudềntím.jpg
Rau dền xanh,41c93acf-43f6-4679-badf-47bbfc1def43,productImage/41c93acf-43f6-4679-badf-47bbfc1def43_Raudềnxanh.jpg
Hành lá,a892a150-9da8-4e08-a26a-f6aeaba7c6bd,productImage/a892a150-9da8-4e08-a26a-f6aeaba7c6bd_Hànhlá.jpg
Tía tô,c10e57bf-93bf-425c-843a-bf104e7e12e6,productImage/c10e57bf-93bf-425c-843a-bf104e7e12e6_Tíatô.jpg
Rau nhút,05da9d1d-93a3-4552-89fa-bf167993180c,productImage/05da9d1d-93a3-4552-89fa-bf167993180c_Raunhút.jpg
